,JobRuntime,Command,Factor,type,time1,time2,time3,time4,time5,mean,sd,median
92,11.335,covariance,0.65,plp,11.335,11.290999999999999,11.296,11.333,11.334000000000001,11.3188,0.02082546518087971,11.333
93,11.345,covariance,0.70,plp,11.345,11.304,11.306,11.319,11.368,11.328800000000001,0.027086897201415053,11.319
94,11.375,covariance,0.75,plp,11.375,11.319,11.402000000000001,11.315,11.350999999999999,11.369,0.036925600875274266,11.375
95,11.292,covariance,0.80,plp,11.292,11.325999999999999,11.350999999999999,11.405999999999999,11.347999999999999,11.349599999999999,0.040327410033375206,11.350999999999999
96,11.314,covariance,0.85,plp,11.314,11.294,11.368,11.365,11.323,11.347600000000002,0.026782456944798822,11.365
97,11.332,covariance,0.90,plp,11.332,11.367,11.306,11.335,11.345999999999998,11.325,0.018110770276274973,11.332
98,11.335,covariance,0.95,plp,11.335,11.282,11.319,11.33,11.342,11.329,0.010074720839804825,11.33
99,7.4670000000000005,covariance,1.00,plp,7.4670000000000005,7.479,7.443,7.46,7.4479999999999995,7.4522,0.010802777420645504,7.4479999999999995
80,11.625,covariance,0.05,ess,11.625,11.655999999999999,11.72,11.638,11.614,11.6634,0.0523622001065656,11.638
81,11.626,covariance,0.10,ess,11.626,11.634,11.620999999999999,11.719000000000001,11.7,11.657399999999999,0.04807598152924263,11.626
82,11.6,covariance,0.15,ess,11.6,11.625,11.682,11.662,11.644,11.654,0.03408812109811896,11.662
83,11.716,covariance,0.20,ess,11.716,11.630999999999998,11.616,11.7,11.685,11.666599999999999,0.04747420352149146,11.685
84,11.635,covariance,0.25,ess,11.635,11.684000000000001,11.739,11.606,11.620999999999999,11.668000000000001,0.06562011886609238,11.635
85,11.684000000000001,covariance,0.30,ess,11.684000000000001,11.627,11.65,11.725999999999999,11.67,11.676,0.031432467291002984,11.67
86,11.603,covariance,0.35,ess,11.603,11.648,11.735999999999999,11.672,11.636,11.676599999999999,0.05946259328350856,11.672
87,11.626,covariance,0.40,ess,11.626,11.684000000000001,11.717,11.644,11.657,11.6722,0.04235209557979433,11.657
88,11.607999999999999,covariance,0.45,ess,11.607999999999999,11.671,11.665,11.648,11.588,11.6348,0.035024277294471155,11.648
89,11.623,covariance,0.50,ess,11.623,11.707,11.713,11.698,11.635,11.6764,0.04390671930354165,11.698
90,11.600999999999999,covariance,0.55,ess,11.600999999999999,11.649000000000001,11.624,11.732000000000001,11.630999999999998,11.6424,0.051354649253987375,11.624
91,11.677,covariance,0.60,ess,11.677,11.663,11.731,11.745,11.703,11.717400000000001,0.027254357449773052,11.731
92,11.620999999999999,covariance,0.65,ess,11.620999999999999,11.674000000000001,11.634,11.669,11.649000000000001,11.641399999999999,0.018338484124922137,11.634
93,11.664000000000001,covariance,0.70,ess,11.664000000000001,11.655,11.762,11.753,11.677999999999999,11.7238,0.04859218044088984,11.753
94,11.654000000000002,covariance,0.75,ess,11.654000000000002,11.675,11.635,11.707,11.605,11.647200000000002,0.037751821148125045,11.635
95,11.651,covariance,0.80,ess,11.651,11.659,11.673,11.626,11.717,11.668,0.033555923471125425,11.673
96,11.669,covariance,0.85,ess,11.669,11.683,11.665999999999999,11.630999999999998,11.623,11.651,0.022124646889837767,11.665999999999999
97,11.615,covariance,0.90,ess,11.615,11.657,11.755999999999998,11.713,11.687000000000001,11.705400000000001,0.05850042734886557,11.713
98,11.645,covariance,0.95,ess,11.645,11.623,11.645,11.661,11.677999999999999,11.6548,0.014703741020570035,11.645
99,11.68,covariance,1.00,ess,11.68,11.682,11.634,11.628,11.671,11.6494,0.02416195356340175,11.634
80,11.552,covariance,0.05,eae,11.552,11.536,11.606,11.673,11.69,11.6254,0.056078516385510785,11.606
81,11.520999999999999,covariance,0.10,eae,11.520999999999999,11.592,11.573,11.556,11.579,11.5604,0.02363895090734849,11.573
82,11.65,covariance,0.15,eae,11.65,11.588,11.605,11.595,11.584000000000001,11.607800000000001,0.0251336427920822,11.605
83,11.556,covariance,0.20,eae,11.556,11.630999999999998,11.585999999999999,11.694,11.572000000000001,11.5988,0.054636983811334826,11.585999999999999
84,11.588,covariance,0.25,eae,11.588,11.592,11.564,11.71,11.620999999999999,11.609399999999999,0.060899917898138756,11.588
